,EDINETコード,開始日,終了日,報告日,証券コード,企業名,業種,営業利益,流動資産,流動負債,投資その他の資産,固定負債,事業価値,財産価値,株主価値,発行株数,1株価値,株価,株価日時,安全率
20,E03071,,,2022-02-14,8130,株式会社サンゲツ,卸売業,4896000000.0,87578000000.0,43480000000.0,19238000000.0,20952000000.0,48960000000.0,54640000000.0,82648000000.0,59900000.0,1379.7662771285475,1564.0,2022-02-22 11:35:01,0.88220350200035
21,E27051,,,2022-02-08,3179,シュッピン株式会社,小売業,2380238000.0,13107189000.0,5780131000.0,688740000.0,3874583000.0,23802380000.0,6859771800.0,26787568800.0,23981797.0,1116.995894844744,1121.0,2022-02-22 11:35:01,0.996428095311993
22,E02199,,,2021-11-12,6470,大豊工業株式会社,機械,1300000000.0,58995000000.0,23831000000.0,7461000000.0,24369000000.0,13000000000.0,37858800000.0,26489800000.0,29172457.0,908.0414447093024,707.0,2022-02-22 12:43:13,1.2843584790796356
23,E01367,,,2021-11-11,5991,日本発条株式会社,金属製品,10292000000.0,283581000000.0,172027000000.0,90785000000.0,69601000000.0,102920000000.0,167933600000.0,201252600000.0,244066144.0,824.582208337753,872.0,2022-02-22 13:43:05,0.945621798552469
24,E32203,,,2022-02-09,6193,バーチャレクス・ホールディングス株式会社,サービス業,357654000.0,1591347000.0,1248109000.0,1361678000.0,725184000.0,3576540000.0,1455294200.0,4306650200.0,2946853.0,1461.440458685927,967.0,2022-02-22 09:00:00,1.5113138145666256
25,E00282,,,2022-02-10,1764,工藤建設株式会社,建設業,4492000.0,5737773000.0,5298993000.0,4962739000.0,4353225000.0,44920000.0,4341720400.0,33415400.0,1331220.0,25.10133561695287,2123.0,2022-02-21 09:00:00,0.011823521251508652
26,E35303,,,2021-11-11,2981,株式会社ランディックス,不動産業,1006026000.0,8438516000.0,3905616000.0,173558000.0,1214678000.0,10060260000.0,3925334800.0,12770916800.0,2827793.0,4516.213456925595,2069.0,2022-02-22 15:15:01,2.182800124178635
27,E00642,,,2021-11-11,3861,王子ホールディングス株式会社,パルプ・紙,63681000000.0,665682000000.0,482787000000.0,266819000000.0,695727000000.0,636810000000.0,353156600000.0,294239600000.0,1014381817.0,290.06789659361567,594.0,2022-02-22 14:07:16,0.4883297922451442
28,E36666,,,2022-02-14,4073,株式会社ジィ・シィ企画,情報・通信業,-197834000.0,1048633000.0,398372000.0,64186000.0,21307000.0,-1978340000.0,634772600.0,-1364874400.0,2424160.0,-563.0298330143224,659.0,2022-02-22 15:15:01,-0.8543700045740856
29,E32683,,,2021-11-15,6542,株式会社ＦＣホールディングス,サービス業,80341000.0,4289873000.0,2475904000.0,787256000.0,1562247000.0,803410000.0,2106044200.0,1347207200.0,5668995.0,237.6448030030014,790.0,2022-02-21 09:00:00,0.30081620633291317
30,E36638,,,2022-01-14,7370,株式会社Ｅｎｊｉｎ,サービス業,546894000.0,3917191000.0,854066000.0,190155000.0,0.0,5468940000.0,3082466800.0,8551406800.0,7388200.0,1157.4411629354918,2856.0,2022-02-22 09:00:00,0.40526651363287525
31,E02991,,,2021-11-10,3386,コスモ・バイオ株式会社,卸売業,895000000.0,6983000000.0,915000000.0,1998000000.0,654000000.0,8950000000.0,7883000000.0,16179000000.0,6048000.0,2675.0992063492063,1030.0,2022-02-22 15:15:01,2.597183695484666
